File already exists. Loading data from CSV
step:1 , train_acc:0.531250, test_acc:0.515625 
step:11 , train_acc:0.500000, test_acc:0.562500 
step:21 , train_acc:0.593750, test_acc:0.601562 
step:31 , train_acc:0.664062, test_acc:0.648438 
step:41 , train_acc:0.562500, test_acc:0.507812 
step:51 , train_acc:0.632812, test_acc:0.640625 
step:61 , train_acc:0.671875, test_acc:0.828125 
step:71 , train_acc:0.640625, test_acc:0.781250 
step:81 , train_acc:0.656250, test_acc:0.789062 
step:91 , train_acc:0.718750, test_acc:0.804688 
step:101 , train_acc:0.710938, test_acc:0.679688 
step:111 , train_acc:0.859375, test_acc:0.820312 
step:121 , train_acc:0.765625, test_acc:0.789062 
step:131 , train_acc:0.828125, test_acc:0.867188 
step:141 , train_acc:0.804688, test_acc:0.734375 
step:151 , train_acc:0.828125, test_acc:0.867188 
step:161 , train_acc:0.843750, test_acc:0.781250 
step:171 , train_acc:0.789062, test_acc:0.875000 
step:181 , train_acc:0.859375, test_acc:0.835938 
step:191 , train_acc:0.757812, test_acc:0.875000 
step:201 , train_acc:0.812500, test_acc:0.695312 
step:211 , train_acc:0.765625, test_acc:0.789062 
step:221 , train_acc:0.875000, test_acc:0.835938 
step:231 , train_acc:0.804688, test_acc:0.867188 
step:241 , train_acc:0.851562, test_acc:0.804688 
step:251 , train_acc:0.843750, test_acc:0.851562 
step:261 , train_acc:0.859375, test_acc:0.898438 
step:271 , train_acc:0.843750, test_acc:0.882812 
step:281 , train_acc:0.890625, test_acc:0.796875 
step:291 , train_acc:0.859375, test_acc:0.914062 
step:301 , train_acc:0.828125, test_acc:0.789062 
step:311 , train_acc:0.843750, test_acc:0.867188 
step:321 , train_acc:0.882812, test_acc:0.921875 
step:331 , train_acc:0.859375, test_acc:0.843750 
step:341 , train_acc:0.789062, test_acc:0.921875 
step:351 , train_acc:0.859375, test_acc:0.890625 
step:361 , train_acc:0.820312, test_acc:0.789062 
step:371 , train_acc:0.890625, test_acc:0.906250 
step:381 , train_acc:0.812500, test_acc:0.875000 
step:391 , train_acc:0.859375, test_acc:0.835938 
step:401 , train_acc:0.828125, test_acc:0.851562 
step:411 , train_acc:0.796875, test_acc:0.812500 
step:421 , train_acc:0.875000, test_acc:0.796875 
step:431 , train_acc:0.875000, test_acc:0.742188 
step:441 , train_acc:0.820312, test_acc:0.906250 
step:451 , train_acc:0.828125, test_acc:0.875000 
step:461 , train_acc:0.882812, test_acc:0.851562 
step:471 , train_acc:0.914062, test_acc:0.828125 
step:481 , train_acc:0.812500, test_acc:0.875000 
step:491 , train_acc:0.890625, test_acc:0.851562 
step:501 , train_acc:0.859375, test_acc:0.867188 
step:511 , train_acc:0.914062, test_acc:0.851562 
step:521 , train_acc:0.835938, test_acc:0.867188 
step:531 , train_acc:0.890625, test_acc:0.796875 
step:541 , train_acc:0.812500, test_acc:0.867188 
step:551 , train_acc:0.820312, test_acc:0.875000 
step:561 , train_acc:0.875000, test_acc:0.875000 
step:571 , train_acc:0.851562, test_acc:0.890625 
step:581 , train_acc:0.812500, test_acc:0.835938 
step:591 , train_acc:0.867188, test_acc:0.851562 
step:601 , train_acc:0.851562, test_acc:0.882812 
step:611 , train_acc:0.835938, test_acc:0.835938 
step:621 , train_acc:0.843750, test_acc:0.851562 
step:631 , train_acc:0.890625, test_acc:0.890625 
step:641 , train_acc:0.890625, test_acc:0.890625 
step:651 , train_acc:0.898438, test_acc:0.875000 
step:661 , train_acc:0.882812, test_acc:0.898438 
step:671 , train_acc:0.914062, test_acc:0.859375 
step:681 , train_acc:0.882812, test_acc:0.875000 
step:691 , train_acc:0.914062, test_acc:0.906250 
step:701 , train_acc:0.859375, test_acc:0.882812 
step:711 , train_acc:0.890625, test_acc:0.898438 
step:721 , train_acc:0.812500, test_acc:0.914062 
step:731 , train_acc:0.828125, test_acc:0.828125 
step:741 , train_acc:0.906250, test_acc:0.859375 
step:751 , train_acc:0.937500, test_acc:0.828125 
step:761 , train_acc:0.898438, test_acc:0.875000 
step:771 , train_acc:0.875000, test_acc:0.851562 
step:781 , train_acc:0.890625, test_acc:0.882812 
step:791 , train_acc:0.867188, test_acc:0.773438 
step:801 , train_acc:0.843750, test_acc:0.828125 
step:811 , train_acc:0.859375, test_acc:0.851562 
step:821 , train_acc:0.843750, test_acc:0.882812 
step:831 , train_acc:0.890625, test_acc:0.859375 
step:841 , train_acc:0.875000, test_acc:0.867188 
step:851 , train_acc:0.867188, test_acc:0.851562 
step:861 , train_acc:0.867188, test_acc:0.804688 
step:871 , train_acc:0.875000, test_acc:0.898438 
step:881 , train_acc:0.898438, test_acc:0.890625 
step:891 , train_acc:0.789062, test_acc:0.835938 
step:901 , train_acc:0.914062, test_acc:0.898438 
step:911 , train_acc:0.835938, test_acc:0.914062 
step:921 , train_acc:0.843750, test_acc:0.882812 
step:931 , train_acc:0.851562, test_acc:0.867188 
step:941 , train_acc:0.867188, test_acc:0.921875 
step:951 , train_acc:0.828125, test_acc:0.890625 
step:961 , train_acc:0.898438, test_acc:0.867188 
step:971 , train_acc:0.867188, test_acc:0.890625 
step:981 , train_acc:0.882812, test_acc:0.859375 
step:991 , train_acc:0.882812, test_acc:0.859375 
test overall predictions:0.872727272727
